Date,effected-people-per-day,daily-effected-Inside-Dhaka,daily-effected-Outside-Dhaka,Dengue-Fever-effected,Dengue-Hemrogic-effected,Dengue-Shock-Syndrome-effected,total-effected-Inside-Dhaka,total-effected-Outside-Dhaka,total-effected-people ,discharged-per-day-Inside-Dhaka,discharged-per-day-Outside-Dhaka ,Total-discharged-in-24 -hrs,total-discharged-Inside-Dhaka,total-discharged-Outside-Dhaka,Total-discharged-people,currently-admitted-people-Inside-Dhaka,currently-admitted-people-Outside-Dhaka,Total-currently-admitted-people,Death-in-24-hrs,total-death-Inside Dhaka,total-death-Outside-Dhaka,Total-death
01-01-22,4,2,2,4,0,0,2,2,4,,,,,,,24,28,52,0,0,0,0
02-01-22,11,7,4,11,0,0,9,6,15,,,,,,,32,32,64,0,0,0,0
03-01-22,29,4,25,29,0,0,13,31,44,,,,,,,30,32,62,0,0,0,0
04-01-22,4,2,2,4,0,0,15,33,48,,,,,,,29,18,47,0,0,0,0
05-01-22,4,2,2,4,0,0,17,35,52,,,,,,,30,18,48,0,0,0,0
06-01-22,9,3,6,9,0,0,20,41,61,,,,,,,30,22,52,0,0,0,0
07-01-22,1,1,0,1,0,0,21,41,62,,,,,,,31,21,52,0,0,0,0
08-01-22,2,2,0,2,0,0,23,41,64,,,,,,,28,20,48,0,0,0,0
09-01-22,7,4,3,7,0,0,27,44,71,,,,,,,28,15,43,0,0,0,0
10-01-22,3,2,1,3,0,0,29,45,74,,,,,,,26,16,42,0,0,0,0
11-01-22,3,3,0,3,0,0,32,45,77,,,,,,,27,16,43,0,0,0,0
12-01-22,14,0,14,14,0,0,32,59,91,,,,,,,22,17,39,0,0,0,0
13-01-22,3,3,0,3,0,0,35,59,94,,,,,,,24,11,35,0,0,0,0
14-01-22,1,1,0,1,0,0,36,59,95,,,,,,,23,11,34,0,0,0,0
15-01-22,5,3,2,5,0,0,39,61,100,,,,,,,24,11,35,0,0,0,0
16-01-22,2,2,0,2,0,0,41,61,102,,,,,,,23,11,34,0,0,0,0
17-01-22,2,2,0,2,0,0,43,61,104,,,,,,,21,11,32,0,0,0,0
18-01-22,4,3,1,4,0,0,46,62,108,,,,,,,19,7,26,0,0,0,0
19-01-22,7,5,2,7,0,0,51,64,115,,,,,,,19,9,28,0,0,0,0
20-01-22,1,1,0,1,0,0,52,64,116,,,,33,56,89,19,8,27,0,0,0,0
21-01-22,0,0,0,0,0,0,52,64,116,4,0,4,37,56,93,15,8,23,0,0,0,0
22-01-22,0,0,0,0,0,0,52,64,116,4,0,4,41,56,97,11,8,19,0,0,0,0
23-01-22,2,1,1,2,0,0,53,65,118,5,1,6,46,57,103,7,8,15,0,0,0,0
24-01-22,3,2,1,3,0,0,55,66,121,1,7,8,47,64,111,8,2,10,0,0,0,0
25-01-22,1,1,0,1,0,0,56,66,122,1,0,1,48,64,112,8,2,10,0,0,0,0
26-01-22,0,0,0,0,0,0,56,66,122,4,0,4,52,64,116,4,2,6,0,0,0,0
27-01-22,1,1,0,1,0,0,57,66,123,2,0,2,54,64,118,3,2,5,0,0,0,0
28-01-22,2,2,0,2,0,0,59,66,125,1,0,1,55,64,119,4,2,6,0,0,0,0
29-01-22,0,0,0,0,0,0,59,66,125,1,0,1,56,64,120,3,2,5,0,0,0,0
30-01-22,0,0,0,0,0,0,59,66,125,1,0,1,57,64,121,2,2,4,0,0,0,0
31-01-22,1,0,1,1,0,0,59,67,126,1,2,3,58,66,124,1,1,2,0,0,0,0
01-02-22,0,0,0,0,0,0,59,67,126,1,0,0,59,66,125,0,1,1,0,0,0,0
02-02-22,2,2,0,2,0,0,61,67,128,0,0,0,59,66,125,2,1,3,0,0,0,0
03-02-22,2,2,0,2,0,0,63,67,130,0,0,0,59,66,125,4,1,5,0,0,0,0
04-02-22,0,0,0,0,0,0,63,67,130,0,0,0,59,66,125,4,1,5,0,0,0,0
05-02-22,2,2,0,2,0,0,65,67,132,1,0,1,60,66,126,5,1,6,0,0,0,0
06-02-22,1,1,0,1,0,0,66,67,133,3,0,3,63,66,129,3,1,4,0,0,0,0
07-02-22,0,0,0,0,0,0,66,67,133,1,1,2,64,67,131,2,0,2,0,0,0,0
08-02-22,0,0,0,0,0,0,66,67,133,0,0,0,64,67,131,2,0,2,0,0,0,0
09-02-22,0,0,0,0,0,0,66,67,133,0,0,0,64,67,131,2,0,2,0,0,0,0
10-02-22,0,0,0,0,0,0,66,67,133,1,0,0,65,67,132,1,0,1,0,0,0,0
11-02-22,0,0,0,0,0,0,66,67,133,0,0,0,65,67,132,1,0,1,0,0,0,0
12-02-22,5,1,4,5,0,0,67,71,138,0,0,0,65,67,132,2,4,6,0,0,0,0
13-02-22,1,1,0,1,0,0,68,71,139,1,1,2,66,68,134,2,3,5,0,0,0,0
14-02-22,2,0,2,2,0,0,68,73,141,0,0,0,66,68,134,2,5,7,0,0,0,0
15-02-22,1,0,1,1,0,0,68,74,142,0,0,0,66,68,134,2,6,8,0,0,0,0
16-02-22,0,0,0,0,0,0,68,74,142,1,1,2,67,69,136,1,5,6,0,0,0,0
17-02-22,0,0,0,0,0,0,68,74,142,0,2,2,67,71,138,1,3,4,0,0,0,0
18-02-22,0,0,0,0,0,0,68,74,142,0,0,0,67,71,138,1,3,4,0,0,0,0
19-02-22,0,0,0,0,0,0,68,74,142,0,1,1,67,72,139,1,2,3,0,0,0,0
20-02-22,0,0,0,0,0,0,68,74,142,0,1,1,67,73,140,1,1,2,0,0,0,0
21-02-22,0,0,0,0,0,0,68,74,142,0,0,0,67,73,140,1,1,2,0,0,0,0
