Date,affected-people-per-day,affected-Dhaka(Inside City),daily-affected-Outside-Dhaka,affected-Dhaka(Outside City),affected-Mymensingh,affected-chittagong,affected-khulna,affected-Rajhshahi,affected-Rangpur,affected-Barishal,affected-Syllhet
01-01-22,4,2,2,0,0,1,0,0,0,1,0
02-01-22,11,7,4,0,0,0,0,0,0,4,0
03-01-22,29,4,25,0,0,25,0,0,0,0,0
04-01-22,4,2,2,1,0,0,0,0,0,1,0
05-01-22,4,2,2,0,0,2,0,0,0,0,0
06-01-22,9,3,6,0,0,6,0,0,0,0,0
07-01-22,1,1,0,0,0,0,0,0,0,0,0
08-01-22,2,2,0,0,0,0,0,0,0,0,0
09-01-22,7,4,3,0,0,3,0,0,0,0,0
10-01-22,3,2,1,0,0,1,0,0,0,0,0
11-01-22,3,3,0,0,0,0,0,0,0,0,0
12-01-22,14,0,14,0,0,12,0,0,1,1,0
13-01-22,3,3,0,0,0,0,0,0,0,0,0
14-01-22,1,1,0,0,0,0,0,0,0,0,0
15-01-22,5,3,2,0,1,1,0,0,0,0,0
16-01-22,2,2,0,0,0,0,0,0,0,0,0
17-01-22,2,2,0,0,0,0,0,0,0,0,0
18-01-22,4,3,1,0,0,1,0,0,0,0,0
19-01-22,7,5,2,0,0,2,0,0,0,0,0
20-01-22,1,1,0,0,0,0,0,0,0,0,0
21-01-22,0,0,0,0,0,0,0,0,0,0,0
22-01-22,0,0,0,0,0,0,0,0,0,0,0
23-01-22,2,1,1,0,0,0,1,0,0,0,0
24-01-22,3,2,1,0,0,1,0,0,0,0,0
25-01-22,1,1,0,0,0,0,0,0,0,0,0
26-01-22,0,0,0,0,0,0,0,0,0,0,0
27-01-22,1,1,0,0,0,0,0,0,0,0,0
28-01-22,2,2,0,0,0,0,0,0,0,0,0
29-01-22,0,0,0,0,0,0,0,0,0,0,0
30-01-22,0,0,0,0,0,0,0,0,0,0,0
31-01-22,1,0,1,0,0,1,0,0,0,0,0
02-01-22,0,0,0,0,0,0,0,0,0,0,0
02-02-22,2,2,0,0,0,0,0,0,0,0,0
02-03-22,2,2,0,0,0,0,0,0,0,0,0
02-04-22,0,0,0,0,0,0,0,0,0,0,0
02-05-22,2,2,0,0,0,0,0,0,0,0,0
02-06-22,1,1,0,0,0,0,0,0,0,0,0
02-07-22,0,0,0,0,0,0,0,0,0,0,0
02-08-22,0,0,0,0,0,0,0,0,0,0,0
02-09-22,0,0,0,0,0,0,0,0,0,0,0
02-10-22,0,0,0,0,0,0,0,0,0,0,0
02-11-22,0,0,0,0,0,0,0,0,0,0,0
02-12-22,5,1,4,0,0,1,0,0,0,3,0
13-02-22,1,1,0,0,0,0,0,0,0,0,0
14-02-22,2,0,2,0,0,0,0,0,0,2,0
15-02-22,1,0,1,0,0,0,1,0,0,0,0
16-02-22,0,0,0,0,0,0,0,0,0,0,0
17-02-22,0,0,0,0,0,0,0,0,0,0,0
18-02-22,0,0,0,0,0,0,0,0,0,0,0
19-02-22,0,0,0,0,0,0,0,0,0,0,0
20-02-22,0,0,0,0,0,0,0,0,0,0,0
21-02-22,0,0,0,0,0,0,0,0,0,0,0
22-02-22,1,0,1,0,0,1,0,0,0,0,0
23-02-22,2,1,1,0,0,0,0,0,1,0,0
24-02-22,0,0,0,0,0,0,0,0,0,0,0
25-02-22,0,0,0,0,0,0,0,0,0,0,0
26-02-22,0,0,0,0,0,0,0,0,0,0,0
27-02-22,0,0,0,0,0,0,0,0,0,0,0
28-02-22,0,0,0,0,0,0,0,0,0,0,0
03-01-22,0,0,0,0,0,0,0,0,0,0,0
