Date,affected-Dhaka,Rainfall,Humidity,Temparature,Sunshine
1/1/2022,2.0,0.0,77.4,18.68,6.960000000000001
2/1/2022,7.0,0.0,88.0,16.64,3.56
3/1/2022,4.0,0.0,80.4,17.619999999999997,6.319999999999999
4/1/2022,3.0,0.0,82.0,17.18,6.0600000000000005
5/1/2022,2.0,0.0,86.4,16.5,4.959999999999999
6/1/2022,3.0,0.0,82.0,17.66,6.160000000000001
7/1/2022,1.0,0.0,78.0,19.34,6.38
8/1/2022,2.0,0.0,75.8,20.12,6.7
9/1/2022,4.0,0.0,76.0,20.12,6.42
10/1/2022,2.0,0.0,75.6,20.5,4.82
11/1/2022,3.0,0.0,74.4,21.339999999999996,2.3600000000000003
12/1/2022,0.0,2.0,84.0,19.98,2.02
13-01-22,3.0,1.4,81.4,19.86,3.6800000000000006
14-01-22,1.0,0.0,81.2,18.56,0.0
15-01-22,3.0,0.4,81.2,18.3,2.9999999999999996
16-01-22,2.0,0.2,71.8,17.44,5.96
17-01-22,2.0,0.0,75.8,17.9,5.6
18-01-22,3.0,0.0,79.0,17.939999999999998,4.9
19-01-22,5.0,0.0,80.4,17.44,4.3
20-01-22,1.0,0.0,78.8,16.96,4.12
21-01-22,0.0,0.0,78.0,17.72,4.24
22-01-22,0.0,0.0,83.4,18.259999999999998,0.7
23-01-22,1.0,0.0,83.6,18.839999999999996,0.86
24-01-22,2.0,4.6,85.0,18.740000000000002,1.58
25-01-22,1.0,0.0,81.6,20.119999999999997,4.46
26-01-22,0.0,0.0,84.0,19.68,1.9400000000000002
27-01-22,1.0,4.2,71.0,17.4,6.0600000000000005
28-01-22,2.0,0.0,69.2,15.660000000000002,6.119999999999999
29-01-22,0.0,0.0,74.2,15.3,5.959999999999999
30-01-22,0.0,0.0,76.2,15.64,5.6
31-01-22,0.0,0.0,74.4,17.1,5.9399999999999995
1/2/2022,0.0,0.0,77.4,19.1,6.08
2/2/2022,2.0,0.0,70.8,19.9,7.1
3/2/2022,2.0,0.0,81.4,21.02,3.94
4/2/2022,0.0,0.8,90.2,17.78,2.7600000000000002
5/2/2022,2.0,36.2,78.6,17.3,7.340000000000001
6/2/2022,1.0,0.0,76.2,16.36,8.02
7/2/2022,0.0,0.0,76.4,16.52,7.380000000000001
8/2/2022,0.0,0.0,75.4,17.54,7.62
9/2/2022,0.0,0.0,74.8,19.06,7.3
10/2/2022,0.0,0.0,86.8,17.94,1.58
11/2/2022,0.0,0.8,80.6,18.740000000000002,2.6399999999999997
12/2/2022,1.0,0.0,66.4,17.84,6.82
13-02-22,1.0,0.0,66.4,18.96,8.180000000000001
14-02-22,0.0,0.0,67.4,19.18,8.28
15-02-22,0.0,0.0,66.6,19.3,7.82
16-02-22,0.0,0.0,64.6,19.419999999999998,7.9799999999999995
17-02-22,0.0,0.0,67.6,19.52,6.68
18-02-22,0.0,0.0,63.6,19.619999999999997,8.3
19-02-22,0.0,0.0,60.4,19.62,7.32
20-02-22,0.0,0.0,72.4,19.82,3.4799999999999995
21-02-22,0.0,3.8,69.4,20.5,7.74
22-02-22,0.0,0.0,69.0,21.96,6.04
23-02-22,1.0,0.0,73.6,22.26,6.619999999999999
24-02-22,0.0,0.0,70.0,23.22,6.4
25-02-22,0.0,2.2,68.8,23.5,7.4399999999999995
26-02-22,0.0,0.0,71.8,23.78,7.739999999999999
27-02-22,0.0,0.0,72.2,23.36,6.480000000000001
28-02-22,0.0,2.2,73.8,24.0,7.459999999999999
1/3/2022,0.0,0.0,64.2,23.619999999999997,8.22
2/3/2022,1.0,0.0,61.6,23.54,8.8
3/3/2022,0.0,0.0,64.4,23.360000000000003,8.66
4/3/2022,0.0,0.0,61.8,23.56,8.42
5/3/2022,0.0,0.0,62.4,24.44,8.36
6/3/2022,1.0,0.0,59.4,24.46,8.58
7/3/2022,0.0,0.0,62.6,25.46,8.84
8/3/2022,0.0,0.0,66.8,25.880000000000003,8.72
9/3/2022,1.0,0.0,62.0,25.639999999999997,9.1
10/3/2022,1.0,0.0,59.4,25.7,9.2
11/3/2022,2.0,0.0,59.8,25.439999999999998,9.059999999999999
12/3/2022,0.0,0.0,60.0,25.28,8.72
13-03-22,0.0,0.0,59.0,25.660000000000004,9.3
14-03-22,0.0,0.0,63.0,26.679999999999996,8.719999999999999
15-03-22,0.0,0.0,63.4,26.8,8.68
16-03-22,0.0,0.0,60.0,27.8,8.599999999999998
17-03-22,0.0,0.0,61.2,27.840000000000003,8.7
18-03-22,0.0,0.0,58.4,27.860000000000003,9.02
19-03-22,0.0,0.0,56.6,27.919999999999998,8.959999999999999
20-03-22,0.0,0.0,59.0,27.839999999999996,8.7
21-03-22,0.0,0.0,70.2,27.619999999999997,7.1
22-03-22,0.0,0.0,72.8,28.26,6.92
23-03-22,0.0,0.0,68.8,29.18,7.160000000000001
24-03-22,0.0,0.0,73.4,28.6,6.9
25-03-22,0.0,0.0,75.4,28.7,4.0600000000000005
26-03-22,0.0,0.0,77.4,29.0,2.86
27-03-22,1.0,0.0,76.0,28.78,4.959999999999999
28-03-22,0.0,1.8,72.8,29.060000000000002,7.0200000000000005
29-03-22,0.0,0.0,75.4,28.720000000000006,5.360000000000001
30-03-22,4.0,1.0,75.4,28.860000000000003,6.14
31-03-22,0.0,0.0,74.2,29.259999999999998,6.840000000000001
1/4/2022,0.0,0.0,74.4,29.5,6.140000000000001
2/4/2022,0.0,0.0,77.4,29.02,1.98
3/4/2022,2.0,0.0,74.6,29.1,4.3
4/4/2022,0.0,0.0,73.0,29.240000000000002,6.640000000000001
5/4/2022,0.0,0.0,71.0,29.22,7.360000000000001
6/4/2022,0.0,0.0,73.6,29.159999999999997,6.92
7/4/2022,1.0,0.0,73.2,29.439999999999998,7.74
8/4/2022,0.0,0.0,71.8,29.360000000000003,8.38
9/4/2022,0.0,0.0,74.2,29.4,6.140000000000001
10/4/2022,2.0,0.0,74.4,29.340000000000003,3.3600000000000003
11/4/2022,1.0,0.0,76.2,29.72,4.18
12/4/2022,0.0,0.0,79.4,29.060000000000002,3.1
13-04-22,1.0,0.0,74.4,29.959999999999997,5.9
14-04-22,0.0,0.0,77.0,29.859999999999996,3.4
15-04-22,0.0,0.0,74.8,30.659999999999997,7.640000000000001
16-04-22,1.0,0.0,77.4,30.059999999999995,3.4
17-04-22,1.0,0.0,74.6,30.02,4.84
