Date,effected-Mymensingh,Rainfall,Humidity,Temparature,Sunshine,Windspeed
01-01-22,0.0,0.0,79.5,18.2,6.5,1.5
02-01-22,0.0,0.0,81.5,18.049999999999997,6.3,2.15
03-01-22,0.0,0.0,83.0,17.65,6.4,2.0
04-01-22,0.0,0.0,85.0,17.2,5.85,2.25
05-01-22,0.0,0.0,82.5,17.799999999999997,5.15,2.0
06-01-22,0.0,0.0,82.5,18.0,6.35,0.5
07-01-22,0.0,0.0,77.0,19.15,7.8,1.0
08-01-22,0.0,0.0,78.5,19.549999999999997,8.149999999999999,0.5
09-01-22,0.0,0.0,78.5,19.7,7.25,1.0
10-01-22,0.0,0.0,82.5,19.85,5.4,0.65
11-01-22,0.0,0.0,81.5,20.5,0.3,1.65
12-01-22,0.0,6.5,87.0,20.200000000000003,0.95,1.4
13-01-22,0.0,3.0,83.5,18.95,5.4,1.0
14-01-22,0.0,0.0,84.5,17.700000000000003,0.0,2.5
15-01-22,1.0,0.0,83.0,17.3,3.2,0.75
16-01-22,0.0,0.0,79.5,17.35,8.15,2.4
17-01-22,0.0,0.0,79.0,18.4,8.149999999999999,0.85
18-01-22,0.0,0.0,81.0,18.5,6.9,2.5
19-01-22,0.0,0.0,82.0,18.5,6.0,1.5
20-01-22,0.0,0.0,86.0,16.700000000000003,3.9000000000000004,2.1
21-01-22,0.0,0.0,88.0,17.0,2.9000000000000004,1.25
22-01-22,0.0,0.0,82.5,18.299999999999997,1.7,2.0
23-01-22,0.0,0.0,85.0,18.4,0.0,0.6
24-01-22,0.0,0.0,79.0,19.299999999999997,5.1,1.0
25-01-22,0.0,0.0,80.5,19.5,4.95,2.5
26-01-22,0.0,0.0,81.0,19.15,0.35,1.35
27-01-22,0.0,0.0,65.0,17.55,6.75,3.05
28-01-22,0.0,0.0,72.0,14.850000000000001,7.15,2.5
29-01-22,0.0,0.0,71.5,15.850000000000001,7.550000000000001,1.5
30-01-22,0.0,0.0,78.0,15.85,7.6,1.5
31-01-22,0.0,0.0,79.5,16.4,5.9,0.5
01-02-22,0.0,0.0,83.5,17.15,0.95,1.5
02-02-22,0.0,0.0,82.5,17.85,3.9,2.0
03-02-22,0.0,0.0,79.5,19.0,3.0,2.75
04-02-22,0.0,1.0,87.0,16.700000000000003,0.0,3.5
05-02-22,0.0,11.0,82.5,16.85,4.1,5.0
06-02-22,0.0,0.0,81.5,15.9,5.4,3.75
07-02-22,0.0,0.0,78.0,16.549999999999997,8.5,2.15
08-02-22,0.0,0.0,78.0,17.05,7.3,1.85
09-02-22,0.0,0.0,77.0,18.049999999999997,7.85,0.5
10-02-22,0.0,0.0,88.5,17.049999999999997,0.0,0.9
11-02-22,0.0,0.0,80.5,18.5,5.9,0.65
12-02-22,0.0,0.0,71.5,17.4,8.7,2.6
13-02-22,0.0,0.0,71.5,18.5,9.25,1.5
14-02-22,0.0,0.0,73.5,18.8,9.45,2.75
15-02-22,0.0,0.0,73.0,19.0,9.25,0.75
16-02-22,0.0,0.0,71.0,19.299999999999997,9.399999999999999,1.5
17-02-22,0.0,0.0,71.5,19.25,9.0,0.5
18-02-22,0.0,0.0,71.5,19.35,8.8,2.5
19-02-22,0.0,0.0,68.0,18.9,9.4,3.0
20-02-22,0.0,0.0,73.0,18.6,5.0,3.25
21-02-22,0.0,0.0,72.5,18.35,7.4,2.85
22-02-22,0.0,0.0,70.5,19.4,7.800000000000001,2.85
23-02-22,0.0,0.0,71.0,21.15,7.7,3.7
24-02-22,0.0,0.0,74.5,21.55,5.15,2.8
