Date,effected-Rajhshahi,Rainfall,Humidity,Temparature,Sunshine
01-01-22,0.0,0.0,79.4,17.56,6.3
02-01-22,0.0,0.0,82.0,16.04,4.0600000000000005
03-01-22,0.0,0.0,82.4,15.379999999999999,6.18
04-01-22,0.0,0.0,86.2,14.580000000000002,4.06
05-01-22,0.0,0.0,89.4,14.66,2.82
06-01-22,0.0,0.0,84.8,16.659999999999997,5.44
07-01-22,0.0,0.0,81.0,18.02,6.0600000000000005
08-01-22,0.0,0.0,77.8,19.119999999999997,7.82
09-01-22,0.0,0.0,79.4,18.94,5.34
10-01-22,0.0,0.0,79.0,19.68,5.32
11-01-22,0.0,0.0,82.0,20.34,0.12000000000000002
12-01-22,0.0,1.8,84.0,19.759999999999998,1.1600000000000001
13-01-22,0.0,6.4,85.0,17.94,5.34
14-01-22,0.0,0.0,86.0,17.04,0.08
15-01-22,0.0,0.0,78.0,17.54,3.96
16-01-22,0.0,0.0,73.2,16.419999999999998,7.859999999999999
17-01-22,0.0,0.0,74.2,17.0,7.76
18-01-22,0.0,0.0,81.0,15.98,6.3
19-01-22,0.0,0.0,82.2,15.12,3.3800000000000003
20-01-22,0.0,0.0,86.2,14.24,2.8600000000000003
21-01-22,0.0,0.0,83.2,16.28,2.02
22-01-22,0.0,0.0,81.6,17.740000000000002,0.58
23-01-22,0.0,0.0,90.4,17.32,0.0
24-01-22,0.0,1.2,81.8,18.639999999999997,4.4399999999999995
25-01-22,0.0,0.0,83.4,18.200000000000003,1.92
26-01-22,0.0,0.0,87.4,17.58,0.04
27-01-22,0.0,1.0,65.8,15.98,7.32
28-01-22,0.0,0.0,76.0,13.440000000000001,3.5800000000000005
29-01-22,0.0,0.0,77.0,14.38,6.1
30-01-22,0.0,0.0,78.4,14.86,5.040000000000001
31-01-22,0.0,0.0,77.0,16.020000000000003,3.38
01-02-22,0.0,0.0,74.8,17.04,5.32
02-02-22,0.0,0.0,73.2,17.54,5.82
03-02-22,0.0,0.0,77.6,19.56,2.42
04-02-22,0.0,7.2,93.8,15.720000000000002,0.1
05-02-22,0.0,28.2,83.4,15.14,3.9200000000000004
06-02-22,0.0,0.0,84.4,14.319999999999999,5.3
07-02-22,0.0,0.0,80.4,15.540000000000001,7.840000000000001
08-02-22,0.0,0.0,79.4,16.54,6.339999999999999
09-02-22,0.0,0.0,76.2,18.54,6.5
10-02-22,0.0,0.4,89.6,17.82,0.24
11-02-22,0.0,4.6,76.0,17.9,6.68
12-02-22,0.0,0.0,70.2,17.02,8.820000000000002
13-02-22,0.0,0.0,69.8,18.080000000000002,8.900000000000002
14-02-22,0.0,0.0,69.6,18.82,8.879999999999999
15-02-22,0.0,0.0,69.4,18.8,8.9
16-02-22,0.0,0.0,69.6,18.2,8.26
17-02-22,0.0,0.0,73.4,19.08,8.24
18-02-22,0.0,0.0,66.8,19.18,9.100000000000001
19-02-22,0.0,0.0,64.2,19.1,9.04
20-02-22,0.0,0.0,70.2,19.559999999999995,2.0599999999999996
21-02-22,0.0,0.2,74.6,19.1,6.959999999999999
22-02-22,0.0,0.0,67.8,20.04,7.040000000000001
23-02-22,0.0,0.0,72.2,20.880000000000003,8.14
