Date,effected-Syllhet,Rainfall,Humidity,Temparature,Sunshine,Windspeed
01-01-22,2.0,0.0,77.5,17.65,8.649999999999999,3.0
02-01-22,0.0,0.0,79.5,17.95,9.8,2.5
03-01-22,0.0,0.0,81.5,17.3,6.45,2.0
04-01-22,0.0,0.0,83.0,17.85,6.65,2.5
05-01-22,0.0,0.0,84.5,17.6,6.45,2.35
06-01-22,0.0,0.0,80.5,17.9,7.199999999999999,2.0
07-01-22,0.0,0.0,75.0,18.4,8.35,3.25
08-01-22,0.0,0.0,73.5,19.2,9.0,3.25
09-01-22,0.0,0.0,76.5,19.299999999999997,8.85,3.0
10-01-22,0.0,0.0,78.5,19.85,7.3,2.0
11-01-22,0.0,0.0,81.0,21.05,5.1,2.6
12-01-22,0.0,1.0,82.0,20.55,2.35,2.5
13-01-22,0.0,5.0,84.0,19.1,6.35,2.5
14-01-22,0.0,1.0,84.5,18.35,0.0,2.25
15-01-22,0.0,0.5,82.5,17.75,0.9,2.35
16-01-22,0.0,0.0,88.5,16.2,4.800000000000001,2.4
17-01-22,0.0,0.0,80.0,17.950000000000003,8.55,3.5
18-01-22,0.0,0.0,74.5,18.799999999999997,5.9,3.0
19-01-22,0.0,0.0,76.5,19.25,6.5,3.25
20-01-22,0.0,0.0,86.5,17.4,1.6,2.5
21-01-22,0.0,0.0,84.0,17.1,3.25,2.25
22-01-22,0.0,0.0,79.5,18.200000000000003,4.9,2.5
23-01-22,0.0,0.0,78.0,18.9,3.55,2.0
24-01-22,0.0,0.5,79.5,19.7,5.050000000000001,3.5
25-01-22,0.0,0.0,78.5,19.4,6.95,2.5
26-01-22,0.0,0.0,80.5,19.85,4.949999999999999,4.5
27-01-22,0.0,10.0,87.5,17.55,1.8,2.5
28-01-22,0.0,0.5,67.0,15.7,8.2,3.65
29-01-22,0.0,0.0,71.0,15.35,8.399999999999999,2.0
30-01-22,0.0,0.0,78.0,16.05,6.7,2.1
31-01-22,0.0,0.0,78.0,16.049999999999997,5.4,2.75
01-02-22,0.0,0.0,81.0,17.15,2.05,2.0
02-02-22,0.0,1.5,76.5,18.45,6.5,2.4
03-02-22,0.0,0.0,79.5,18.450000000000003,2.0500000000000003,2.35
04-02-22,0.0,0.0,80.0,18.25,2.0500000000000003,3.5
05-02-22,0.0,17.5,84.5,16.85,2.3,2.75
06-02-22,0.0,0.0,77.0,16.0,7.1,2.0
07-02-22,0.0,0.0,76.5,16.200000000000003,7.95,2.25
08-02-22,0.0,0.0,77.0,16.6,7.050000000000001,2.0
09-02-22,0.0,0.0,76.0,17.15,8.95,3.5
10-02-22,0.0,0.0,84.5,16.6,0.05,2.5
11-02-22,0.0,0.0,76.5,17.85,8.8,2.0
12-02-22,0.0,0.0,69.0,17.1,8.8,3.25
13-02-22,0.0,0.0,68.5,18.05,8.8,3.25
14-02-22,0.0,0.0,68.0,19.15,9.6,2.6
15-02-22,0.0,0.0,64.0,19.3,9.55,3.75
16-02-22,0.0,0.0,67.5,18.75,9.45,2.9
17-02-22,0.0,0.0,68.0,18.85,9.3,2.0
18-02-22,0.0,0.0,71.5,18.85,9.05,4.5
19-02-22,0.0,0.0,67.0,18.35,9.55,4.25
20-02-22,0.0,0.0,65.0,19.299999999999997,7.05,2.0
21-02-22,0.0,2.5,70.5,18.45,7.5,3.6
22-02-22,0.0,1.5,64.0,19.549999999999997,8.7,3.7
23-02-22,0.0,0.0,64.0,21.1,6.95,2.8
24-02-22,0.0,0.0,72.0,21.9,4.25,1.65
25-02-22,0.0,2.5,70.5,22.9,7.699999999999999,2.0
26-02-22,0.0,0.0,72.0,22.549999999999997,8.85,4.25
27-02-22,0.0,0.0,71.0,22.25,8.3,2.6
28-02-22,0.0,0.0,68.5,22.9,7.75,3.0
01-03-22,0.0,0.0,60.5,22.1,9.2,2.65
02-03-22,0.0,0.0,63.0,21.95,9.55,2.25
03-03-22,0.0,0.0,64.0,22.200000000000003,9.649999999999999,2.0
04-03-22,0.0,0.0,63.0,21.75,9.45,2.35
05-03-22,0.0,0.0,62.0,22.5,9.3,3.25
06-03-22,0.0,0.0,63.0,23.25,9.149999999999999,2.5
07-03-22,0.0,0.0,58.5,25.15,9.05,3.0
08-03-22,0.0,0.0,65.5,25.15,9.3,2.5
09-03-22,0.0,0.0,69.5,25.1,8.5,2.15
10-03-22,0.0,0.0,66.5,25.799999999999997,8.95,2.25
11-03-22,0.0,0.0,68.5,25.0,9.149999999999999,3.0
12-03-22,0.0,0.0,68.0,25.0,9.15,3.0
13-03-22,0.0,0.0,66.5,25.7,9.05,2.5
14-03-22,0.0,0.0,66.0,26.05,8.850000000000001,3.5
15-03-22,0.0,0.0,66.5,26.200000000000003,9.45,2.75
16-03-22,0.0,0.0,65.5,26.35,9.25,4.65
17-03-22,0.0,0.0,62.0,27.15,9.2,3.0
18-03-22,0.0,0.0,67.0,26.950000000000003,8.649999999999999,2.75
19-03-22,0.0,0.0,68.5,26.7,8.95,4.25
20-03-22,0.0,0.0,67.5,26.7,8.55,4.5
21-03-22,0.0,0.0,67.5,26.35,9.05,4.0
22-03-22,0.0,0.0,66.0,27.35,8.6,3.5
23-03-22,0.0,0.0,66.5,28.25,8.6,4.25
24-03-22,0.0,0.0,77.5,26.4,4.75,4.5
25-03-22,0.0,15.0,74.0,27.1,3.3,5.1
26-03-22,0.0,0.0,74.5,27.0,5.9,8.5
27-03-22,0.0,7.0,75.5,25.9,6.2,3.85
28-03-22,0.0,2.5,83.0,23.65,1.6,4.3
29-03-22,0.0,8.5,83.0,24.45,1.0499999999999998,3.75
30-03-22,0.0,5.5,90.0,24.0,0.0,4.1
31-03-22,0.0,16.0,85.5,26.25,2.8,3.5
01-04-22,0.0,3.5,80.5,26.799999999999997,3.45,5.1
02-04-22,0.0,0.0,76.5,27.6,3.75,3.6
03-04-22,0.0,0.0,80.0,27.4,2.8,6.1
04-04-22,0.0,0.5,73.0,27.5,6.05,5.2
05-04-22,0.0,0.0,74.0,28.299999999999997,7.15,2.5
06-04-22,0.0,0.0,76.5,28.0,7.050000000000001,3.5
07-04-22,0.0,0.0,76.5,28.5,7.7,2.65
08-04-22,0.0,0.0,75.5,28.25,6.85,2.75
09-04-22,0.0,0.0,74.5,27.95,6.5,2.05
10-04-22,0.0,0.0,80.5,25.799999999999997,6.0,2.75
11-04-22,0.0,34.0,81.5,25.15,3.75,3.55
12-04-22,0.0,13.0,80.0,28.0,5.15,2.4
13-04-22,0.0,1.0,80.5,28.25,3.8499999999999996,3.25
14-04-22,0.0,3.0,84.0,26.9,1.25,3.5
