Date,R_Dhaka,R_Tangail,R_Faridpur,R_Madaripur,R_Gopalganj,RH_Dhaka,RH_Tangail,RH_Faridpur,RH_Madaripur,RH_Gopalganj,Tavg_Dhaka,Tavg_Tangail,Tavg_Faridpur,Tavg_Madaripur,Tavg_Gopalganj,S_Dhaka,S_Tangail,S_Faridpur,S_Madaripur,S_Gopalganj
1/1/2022,0,0,0,0,0,71,79,78,80,79,20,18.6,18.8,18.4,17.6,5.8,7.3,9,5.6,7.1
2/1/2022,0,0,0,0,0,83,87,88,91,91,18.3,16.6,16.6,16.4,15.3,4.7,3.1,8.7,0.3,1
3/1/2022,0,0,0,0,0,74,85,78,85,80,19.1,16.8,17.8,17,17.4,4.2,7,8.7,5.2,6.5
4/1/2022,0,0,0,0,0,76,88,81,85,80,18.9,15.6,17,17.5,16.9,4.4,4.7,8.2,5.7,7.3
5/1/2022,0,0,0,0,0,83,91,89,87,82,18,15,16.5,16.6,16.4,3.9,2.6,8.6,3.3,6.4
6/1/2022,0,0,0,0,0,76,84,80,86,84,19.2,16.8,18.2,17.3,16.8,4.4,6.9,8.8,4.3,6.4
7/1/2022,0,0,0,0,0,71,79,78,82,80,21.1,18.6,19.9,18.6,18.5,4.9,7.5,6.6,6,6.9
8/1/2022,0,0,0,0,0,65,78,77,80,79,21.9,19.3,20.3,19.9,19.2,5.8,8,7.2,5.2,7.3
9/1/2022,0,0,0,0,0,67,79,74,81,79,22.2,19.4,20.7,19.1,19.2,5,7.6,6,6,7.5
10/1/2022,0,0,0,0,0,66,79,75,79,79,22.3,20,20.9,19.6,19.7,3.9,6.2,3.1,5.8,5.1
11/1/2022,0,0,0,0,0,67,78,75,79,73,22.3,20.5,21.5,20.8,21.6,3.9,2,0.8,0,5.1
12/1/2022,1,8,1,0,0,77,85,84,88,86,21.2,19.8,20.2,19.2,19.5,0.5,0,4.1,5.5,0
13-01-22,0,7,0,0,0,73,83,82,85,84,21.3,18.8,20,19.7,19.5,4.4,6.9,0,3.4,3.7
14-01-22,0,0,0,0,0,72,85,83,86,80,19.6,17.9,18.5,18.3,18.5,0,0,0,0,0
15-01-22,0,0,1,1,0,74,84,82,84,82,19.5,17.8,18.6,17.6,18,1.2,3.8,6.2,1.2,2.6
16-01-22,0,0,0,0,1,65,75,69,78,72,19,16.8,17.7,17.4,16.3,6.2,8,1.5,6.3,7.8
17-01-22,0,0,0,0,0,66,80,76,80,77,20,17.2,17.8,17.6,16.9,6.4,8.2,0,5.9,7.5
18-01-22,0,0,0,0,0,73,81,78,83,80,19.5,17.5,18.1,17.5,17.1,3.2,6.7,3.9,4.1,6.6
19-01-22,0,0,0,0,0,77,82,80,83,80,18.7,16.6,17.6,17.5,16.8,4.6,5.1,0,5.3,6.5
20-01-22,0,0,0,0,0,75,81,78,80,80,18.1,16,16.9,17.8,16,4.7,5.8,0,4.2,5.9
21-01-22,0,0,0,0,0,72,81,79,81,77,18.8,17.2,17.4,17.6,17.6,3.1,3.3,5.9,5.1,3.8
